Method_Calls Precision varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,51.23,51.28,51.12,50.13,50.03
60,51.98,52.14,51.78,50.97,50.76
70,52.87,53.02,52.78,51.12,50.89
80,53.45,53.65,53.54,52.36,51.03
90,55.41,55.89,54.08,53.35,52.36
100,56.87,56.97,55.58,54.52,52.99
110,56.47,57.02,56.78,55.45,54.03
120,57.28,57.88,56.87,56.03,55.69
130,57.02,57.02,56.14,55.77,55.04
140,56.54,56.98,56.01,55.07,55.04
150,56.01,56.58,55.45,54.67,54.23
160,55.21,55.87,54.78,54.14,53.21
170,54.21,54.68,54.12,54.03,53.01
180,53.20,53.22,54.02,54.02,52.47
190,53.01,52.06,53.15,53.05,52.08
200,53.01,52.98,53.01,53.01,51.65
Try-catch Recall varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,29.32,29.54,29.16,28.15,27.67
60,29.87,29.98,29.84,28.88,28.08
70,30.47,30.49,30.15,29.99,28.45
80,31.45,31.53,31.26,30.58,29.44
90,31.58,31.68,31.56,31.45,30.14
100,32.57,32.96,32.45,32.06,30.99
110,32.02,32.95,32.70,32.74,31.55
120,33.25,33.65,33.05,33.00,31.97
130,33.24,33.24,32.17,32.15,31.03
140,33.01,33.21,32.05,31.97,30.55
150,32.02,32.58,31.58,31.65,30.01
160,31.52,31.89,30.98,31.06,29.88
170,31.09,31.09,30.12,30.02,29.11
180,30.25,30.56,30.03,29.98,28.44
190,29.25,29.85,29.98,29.98,27.43
200,29.24,29.65,29.45,29.23,27.03
Method_Signature Recall varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,23.21,23.54,23.17,22.22,22.02
60,23.22,23.38,23.45,23.01,22.56
70,23.99,24.15,24.02,24.02,23.05
80,24.28,24.86,24.56,24.89,23.55
90,25.81,25.98,25.45,25.32,24.06
100,26.04,26.87,26.47,26.41,24.99
110,25.81,26.87,26.87,26.87,25.66
120,26.34,26.68,26.68,26.47,26.01
130,26.34,26.65,25.14,25.45,25.44
